genero,cantidad_juegos,usuarios_estimados_total,usuarios_estimados_media,usuarios_estimados_mediana,tiempo_medio_horas_todos,juegos_con_tiempo_registrado,proporcion_positivas_media,total_resenas,tiempo_medio_horas_solo_con_tiempo,tiempo_mediano_horas_solo_con_tiempo,porcentaje_juegos_con_tiempo,usuarios_estimados_media_millones,usuarios_estimados_mediana_millones
Accion,36894,5805230000,157349,10000,1.87,3647,0.7476,92380325,18.92,3.73,9.89,0.157,0.01
Indie,63228,4302075000,68041,10000,0.96,5270,0.7611,53776067,11.49,3.23,8.33,0.068,0.01
Aventura,35495,3902770000,109953,10000,2.28,3381,0.7521,55631283,23.99,3.77,9.53,0.11,0.01
RPG,16350,2453290000,150048,10000,2.0,1869,0.7399,35449166,17.49,5.17,11.43,0.15,0.01
Gratis,8873,2075360000,233896,0,1.28,685,0.7532,28265214,16.59,1.32,7.72,0.234,0.0
Estrategia,17380,1993730000,114714,10000,1.62,1791,0.7372,22663392,15.77,4.68,10.3,0.115,0.01
Simulacion,18596,1791400000,96333,10000,3.89,1929,0.7102,27274885,37.47,4.22,10.37,0.096,0.01
Casual,38719,1778515000,45934,10000,1.83,2498,0.7627,17851362,28.32,2.8,6.45,0.046,0.01
Multijugador masivo,2129,1035115000,486198,10000,4.61,303,0.633,14016773,32.42,4.43,14.23,0.486,0.01
Acceso anticipado,9121,591465000,64847,10000,0.99,527,0.7246,7815099,17.08,4.08,5.78,0.065,0.01
Deportes,3948,335860000,85071,10000,1.1,355,0.7106,4272361,12.18,2.53,8.99,0.085,0.01
Carreras,3302,220575000,66800,10000,0.71,293,0.7217,3307792,8.04,2.73,8.87,0.067,0.01
Utilidades,856,75890000,88657,10000,4.89,67,0.7122,1160059,62.44,1.6,7.83,0.089,0.01
Diseno e ilustracion,494,63415000,128370,10000,2.24,40,0.735,1088532,27.72,0.77,8.1,0.128,0.01
Animacion y modelado,394,60560000,153706,10000,4.19,38,0.7195,1056099,43.45,0.56,9.64,0.154,0.01
Edicion fotografica,149,42800000,287248,10000,2.1,9,0.7628,926109,34.77,1.75,6.04,0.287,0.01
Produccion de video,285,18545000,65070,10000,4.21,22,0.6901,125140,54.48,3.42,7.72,0.065,0.01
Educacion,391,13505000,34540,10000,1.62,21,0.7084,78522,30.11,0.3,5.37,0.035,0.01
Violento,429,13000000,30303,10000,20.95,31,0.5957,62472,289.92,3.48,7.23,0.03,0.01
Desarrollo de videojuegos,256,12515000,48887,10000,0.35,18,0.7444,96215,4.97,1.45,7.03,0.049,0.01
Gore,265,9800000,36981,10000,33.82,21,0.5823,42129,426.79,3.67,7.92,0.037,0.01
Produccion de audio,195,8835000,45308,10000,5.1,14,0.7205,112410,71.06,7.68,7.18,0.045,0.01
Formacion en software,192,8455000,44036,10000,4.31,14,0.6893,28885,59.06,0.92,7.29,0.044,0.01
Publicacion web,99,7390000,74646,10000,7.1,18,0.7378,54130,39.06,1.84,18.18,0.075,0.01
Desnudez,96,2525000,26302,10000,0.48,11,0.6178,9940,4.21,3.55,11.46,0.026,0.01
Contenido sexual,90,1685000,18722,10000,0.42,9,0.6622,9764,4.22,3.05,10.0,0.019,0.01
Pelicula,2,760000,380000,380000,1.24,1,0.767,3226,2.48,2.48,50.0,0.38,0.38
Contabilidad,24,655000,27292,10000,0.07,3,0.7571,1266,0.59,0.02,12.5,0.027,0.01
Cortometraje,1,10000,10000,10000,0.0,0,1.0,1,,,0.0,0.01,0.01
Episodico,1,10000,10000,10000,0.0,0,1.0,1,,,0.0,0.01,0.01
Documental,1,10000,10000,10000,0.0,0,1.0,1,,,0.0,0.01,0.01
Tutorial,1,10000,10000,10000,0.0,0,1.0,1,,,0.0,0.01,0.01
Video 360,1,10000,10000,10000,0.0,0,1.0,1,,,0.0,0.01,0.01
