genero,cantidad_juegos,usuarios_estimados_total,usuarios_estimados_media,usuarios_estimados_mediana,tiempo_medio_horas_todos,juegos_con_tiempo_registrado,proporcion_positivas_media,total_resenas,tiempo_medio_horas_solo_con_tiempo,tiempo_mediano_horas_solo_con_tiempo,porcentaje_juegos_con_tiempo,usuarios_estimados_media_millones,usuarios_estimados_mediana_millones
Accion,36894,5805230000,157349,10000,1.87,3647,0.7476,92380325,18.92,3.73,9.89,0.157,0.01
Indie,63228,4302075000,68041,10000,0.96,5270,0.7611,53776067,11.49,3.23,8.33,0.068,0.01
Aventura,35495,3902770000,109953,10000,2.28,3381,0.7521,55631283,23.99,3.77,9.53,0.11,0.01
RPG,16350,2453290000,150048,10000,2.0,1869,0.7399,35449166,17.49,5.17,11.43,0.15,0.01
Gratis,8873,2075360000,233896,0,1.28,685,0.7532,28265214,16.59,1.32,7.72,0.234,0.0
Estrategia,17380,1993730000,114714,10000,1.62,1791,0.7372,22663392,15.77,4.68,10.3,0.115,0.01
Simulacion,18596,1791400000,96333,10000,3.89,1929,0.7102,27274885,37.47,4.22,10.37,0.096,0.01
Casual,38719,1778515000,45934,10000,1.83,2498,0.7627,17851362,28.32,2.8,6.45,0.046,0.01
Multijugador masivo,2129,1035115000,486198,10000,4.61,303,0.633,14016773,32.42,4.43,14.23,0.486,0.01
Acceso anticipado,9121,591465000,64847,10000,0.99,527,0.7246,7815099,17.08,4.08,5.78,0.065,0.01
Deportes,3948,335860000,85071,10000,1.1,355,0.7106,4272361,12.18,2.53,8.99,0.085,0.01
Carreras,3302,220575000,66800,10000,0.71,293,0.7217,3307792,8.04,2.73,8.87,0.067,0.01
